ip_address,min_rtt,avg_rtt,max_rtt,distance
160.242.19.254,215.171,243.809,365.215,11516.47
41.110.39.130,129.432,148.839,221.398,7465.18
213.158.175.240,149.762,161.060,213.315,9918.75
102.214.66.39,185.437,197.175,254.659,8873.18
102.214.66.19,196.287,211.063,265.515,8873.18
212.60.92.134,165.302,176.375,217.333,7385.29
105.235.237.2,248.446,266.564,353.007,10217.32
105.235.237.2,247.418,264.216,350.873,10217.32
102.215.35.132,225.533,247.226,349.538,12889.35
197.227.12.18,261.916,283.077,343.593,15964.44
197.227.12.18,262.397,284.859,351.379,15964.44
41.210.185.162,238.823,255.558,342.550,12430.08
69.48.239.124,241.886,265.298,338.237,13906.22
23.249.55.42,205.542,236.435,336.066,11732.05
69.48.238.200,261.915,299.155,368.978,11732.05
189.25.101.151,216.679,242.837,328.538,11732.05
189.25.97.217,204.985,229.299,320.316,11732.05
64.120.117.34,251.631,277.825,333.027,12708.77
84.17.57.129,197.510,226.749,327.974,12708.77
23.249.58.14,191.326,219.250,317.230,12708.77
157.66.210.199,220.669,238.711,292.580,15971.02
212.76.127.243,215.942,234.554,281.884,9977.4
212.76.127.244,212.859,225.205,263.511,9977.4
169.150.202.193,202.689,221.695,279.856,9977.4
49.205.75.2,222.156,244.521,353.712,13865.82
69.48.236.198,287.766,332.691,477.555,13164.92
23.249.60.154,146.620,166.074,235.129,10303.89
23.106.226.75,161.850,180.163,250.501,10303.89
89.187.160.1,150.335,169.841,236.959,10303.89
66.35.31.81,146.607,166.419,231.276,10303.89
27.123.215.194,203.188,226.889,297.796,10099.09
23.108.99.54,242.871,300.450,451.192,15249.83
89.187.162.1,211.774,275.756,435.338,15249.83
15.235.182.181,209.180,235.152,304.403,15249.83
96.45.38.22,213.177,236.561,302.346,15249.83
176.23.128.102,212.985,237.011,304.821,15249.83
62.106.94.245,151.245,159.868,199.090,8954.7
156.146.52.1,140.926,157.327,232.092,8886.65
69.48.237.66,168.644,216.887,395.682,8886.65
189.25.98.63,182.592,209.679,281.015,12162.6
195.69.189.215,191.078,223.154,289.968,10724.92
185.180.12.40,123.586,143.772,205.817,7613.81
104.143.1.141,117.682,140.811,198.787,7613.81
207.211.214.65,110.095,138.401,210.099,6727.87
185.3.160.57,115.315,142.195,215.006,6727.87
37.19.203.1,151.686,190.781,264.644,8422.31
88.213.191.247,108.344,129.434,190.882,7144.68
82.197.188.129,113.727,137.060,198.432,7189.52
95.143.54.63,107.395,138.169,211.433,7189.52
89.187.165.1,123.536,146.171,214.587,7189.52
148.187.129.10,108.131,143.486,218.945,7298.68
185.152.65.113,156.727,178.184,262.630,7659.17
62.176.246.73,111.405,147.176,240.006,7020.75
62.176.246.39,110.771,144.677,234.796,7020.75
62.176.246.102,112.106,143.164,230.000,7020.75
178.215.228.109,106.134,139.345,230.257,7033.76
91.199.118.184,117.372,140.842,223.732,7033.76
185.245.99.75,106.151,134.694,201.602,6975.26
178.162.226.176,112.515,134.915,195.709,7033.76
62.176.246.8,121.849,133.844,168.577,7020.75
62.176.246.197,119.951,132.347,164.440,7020.75
185.102.219.93,110.868,131.810,203.232,7033.76
96.45.39.38,109.543,127.654,187.196,7033.76
141.98.136.66,110.216,126.742,189.228,7035.82
213.209.106.95,102.860,120.716,176.724,6901.44
62.176.224.217,112.363,130.516,189.247,6679.34
62.176.246.171,114.369,132.335,191.124,7020.75
185.118.248.162,124.824,156.886,245.855,6927.1
193.106.164.10,108.083,121.645,170.190,6925.29
193.106.166.153,107.402,121.943,170.812,6927.1
212.47.219.73,122.241,151.003,237.504,7277.68
185.93.3.50,118.529,143.802,220.205,6753.67
148.230.45.213,106.304,137.684,222.116,6753.67
80.67.167.93,100.154,125.083,210.536,6705.98
138.199.14.66,162.644,185.258,237.432,7083.48
185.93.2.193,149.084,165.929,216.647,6705.98
45.147.210.189,96.304,120.627,194.036,6705.98
51.158.1.19,190.020,210.099,271.490,6705.98
51.158.1.21,104.186,118.695,166.434,6705.98
96.45.42.156,95.520,110.525,152.331,6705.98
96.45.41.167,109.218,135.193,229.542,7316.65
51.158.1.21,102.093,128.731,193.275,6705.98
31.132.7.130,92.376,125.929,216.774,6288.95
23.106.58.162,97.069,125.199,194.270,6417.5
81.17.61.145,95.179,128.561,215.992,6425.16
5.180.211.133,92.189,122.887,206.506,6417.5
185.59.221.51,153.517,184.834,248.728,6417.5
194.24.162.86,91.598,122.545,206.280,6474.38
96.45.40.45,96.980,127.815,206.763,6417.5
78.129.130.58,95.965,124.137,182.192,6195.92
103.214.44.130,95.138,125.100,183.207,6195.92
169.150.252.2,142.373,159.947,198.293,8804.61
169.150.242.129,128.473,155.383,223.800,7752.04
87.249.137.8,103.538,121.376,164.530,6417.5
195.162.68.38,133.406,147.556,184.139,4851.63
31.14.130.68,125.803,134.249,175.248,7649.92
84.17.59.129,160.013,181.976,267.248,7347.28
217.61.40.96,115.680,133.329,187.784,7358.31
185.152.44.54,131.909,155.296,210.361,7959.91
197.227.5.218,116.897,134.764,207.218,6417.5
95.211.20.80,110.600,122.170,160.181,6679.34
178.162.166.76,101.376,119.946,200.365,6679.34
194.127.172.176,99.832,115.405,187.525,6679.34
163.172.208.7,100.331,118.605,191.510,6679.34
62.176.247.4,112.611,126.910,195.346,6679.34
185.102.218.1,150.677,174.155,241.605,6679.34
217.18.95.142,99.592,113.137,180.988,6784.44
195.95.177.10,148.790,177.328,231.684,6679.34
45.88.200.26,117.865,141.895,199.328,6679.34
185.15.210.116,100.005,112.876,163.616,6720.05
194.135.46.48,100.101,119.332,183.876,6720.05
145.0.6.51,103.751,120.486,181.364,6707.97
185.182.195.76,104.063,122.450,184.812,6658.38
185.125.168.212,116.696,143.851,212.484,6595.95
178.217.143.20,122.518,155.632,242.896,7598.83
185.246.208.67,126.441,167.002,235.045,7598.83
109.61.94.65,129.259,152.206,208.399,6438.4
185.102.217.170,134.733,158.905,218.263,8453.94
88.218.137.64,128.676,153.842,216.460,8095.18
143.14.22.69,124.906,150.239,211.940,6980.47
93.177.80.27,115.461,143.800,215.633,6980.47
185.76.9.135,126.194,150.546,211.999,6980.47
156.146.40.65,120.522,146.693,211.685,7661.17
37.19.218.65,138.480,159.590,208.419,8221.01
95.67.49.134,132.023,165.464,233.407,8221.01
148.230.60.200,136.514,158.556,207.711,8243.25
138.199.4.1,136.566,160.906,215.949,8243.25
79.127.209.1,151.922,170.398,220.373,8381.61
156.146.53.53,58.354,76.407,126.508,440.78
170.83.216.19,110.053,131.706,188.159,4658.18
69.79.207.214,52.203,73.054,133.284,2675.61
121.127.43.65,72.259,90.168,143.651,2547.6
