IP,HOP,RTT
79.127.209.1,1,0.244
79.127.209.1,2,2.212
79.127.209.1,3,1.582
79.127.209.1,4,0.892
79.127.209.1,5,0.491
79.127.209.1,6,0.796
79.127.209.1,8,3.029
79.127.209.1,9,5.638
79.127.209.1,10,7.544
79.127.209.1,11,7.430
79.127.209.1,12,7.532
79.127.209.1,13,9.504
79.127.209.1,14,135.806
79.127.209.1,15,147.854
iperf1.surfwireless.nl,1,0.236
iperf1.surfwireless.nl,2,1.443
iperf1.surfwireless.nl,3,0.976
iperf1.surfwireless.nl,4,0.988
iperf1.surfwireless.nl,5,0.443
iperf1.surfwireless.nl,6,0.694
iperf1.surfwireless.nl,8,6.642
iperf1.surfwireless.nl,9,7.015
iperf1.surfwireless.nl,10,14.428
iperf1.surfwireless.nl,11,24.220
iperf1.surfwireless.nl,12,25.329
iperf1.surfwireless.nl,13,24.273
iperf1.surfwireless.nl,14,23.973
iperf1.surfwireless.nl,15,95.148
iperf1.surfwireless.nl,16,95.266
iperf1.surfwireless.nl,17,96.763
iperf1.surfwireless.nl,18,99.897
iperf1.surfwireless.nl,19,99.579
iperf1.surfwireless.nl,20,99.922
iperf1.surfwireless.nl,21,99.923
iperf1.surfwireless.nl,22,102.284
96.45.42.156,1,0.254
96.45.42.156,2,1.497
96.45.42.156,3,1.449
96.45.42.156,4,1.014
96.45.42.156,5,0.466
96.45.42.156,6,0.671
96.45.42.156,7,0.948
96.45.42.156,8,4.579
96.45.42.156,9,4.463
96.45.42.156,10,18.910
96.45.42.156,11,20.390
96.45.42.156,12,41.899
96.45.42.156,13,38.513
96.45.42.156,14,16.671
96.45.42.156,15,91.737
96.45.42.156,16,91.601
96.45.42.156,17,91.380
96.45.42.156,18,92.406
96.45.42.156,19,92.796
96.45.42.156,20,92.971
185.246.208.67,1,0.242
185.246.208.67,2,1.786
185.246.208.67,3,1.037
185.246.208.67,4,0.935
185.246.208.67,5,0.554
185.246.208.67,6,0.606
185.246.208.67,7,0.997
185.246.208.67,9,3.251
185.246.208.67,10,3.467
185.246.208.67,11,6.187
185.246.208.67,12,10.770
185.246.208.67,13,101.443
185.246.208.67,14,105.124
185.246.208.67,15,106.260
185.246.208.67,16,120.172
185.246.208.67,17,109.255
185.246.208.67,18,106.546
185.246.208.67,19,119.784
185.246.208.67,20,122.753
185.246.208.67,21,124.866
96.45.38.22,2,1.822
96.45.38.22,3,1.041
96.45.38.22,4,0.889
96.45.38.22,5,0.482
96.45.38.22,6,0.960
96.45.38.22,7,0.898
96.45.38.22,8,3.867
96.45.38.22,9,14.367
96.45.38.22,10,20.601
96.45.38.22,11,20.123
96.45.38.22,12,18.111
96.45.38.22,13,17.171
96.45.38.22,16,208.385
96.45.38.22,18,141.420
96.45.38.22,19,142.771
96.45.38.22,20,210.112
96.45.38.22,21,208.711
96.45.38.22,22,208.229
96.45.38.22,23,207.905
